City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Lircay,PE,2021-09-17 10:37:54,-12.9896,-74.7205,46.09,86,100,3.2
196,Greytown,ZA,2021-09-17 10:37:54,-29.0642,30.5928,56.03,55,81,2.93
197,Merauke,ID,2021-09-17 10:37:55,-8.4667,140.3333,77.32,74,47,19.42
198,Novikovo,RU,2021-09-17 10:37:55,51.1537,37.8879,66.87,28,84,5.37
199,Soyaux,FR,2021-09-17 10:37:55,45.65,0.2,70.84,70,90,5.75
200,Lucea,JM,2021-09-17 10:37:56,18.451,-78.1736,74.86,81,71,10.04
201,Tasiilaq,GL,2021-09-17 10:37:56,65.6145,-37.6368,37.56,62,94,6.55
202,Carnarvon,AU,2021-09-17 10:37:56,-24.8667,113.6333,66.27,48,0,21.85
203,Saint-Georges,GD,2021-09-17 10:37:56,12.0564,-61.7485,80.28,83,20,10.36
204,Cockburn Town,TC,2021-09-17 10:33:14,21.4612,-71.1419,82.36,78,40,11.5
205,Shelburne,CA,2021-09-17 10:37:57,44.0787,-80.2041,58.6,96,0,6.46
206,East London,ZA,2021-09-17 10:37:57,-33.0153,27.9116,65.34,48,20,21.85
207,Lahti,RU,2021-09-17 10:37:58,59.9911,30.1597,50.18,76,65,8.75
208,Rio Claro,BR,2021-09-17 10:37:58,-22.4114,-47.5614,66.02,74,46,6.22
209,Niquelandia,BR,2021-09-17 10:37:58,-14.4739,-48.4597,82.63,22,0,13.56
210,Kuching,MY,2021-09-17 10:37:59,1.55,110.3333,80.82,78,20,3.44
211,Inta,RU,2021-09-17 10:37:59,66.0317,60.1659,40.23,83,100,20.38
212,Charters Towers,AU,2021-09-17 10:36:09,-20.1,146.2667,64.89,71,3,12.62
213,Dicabisagan,PH,2021-09-17 10:37:59,17.0818,122.4157,80.06,87,58,2.59
214,Touros,BR,2021-09-17 10:38:00,-5.1989,-35.4608,76.1,67,35,17.29
215,Alice Springs,AU,2021-09-17 10:37:55,-23.7,133.8833,76.55,38,94,4.61
216,Yar-Sale,RU,2021-09-17 10:38:00,66.8333,70.8333,40.23,94,93,24.43
217,Nadezhda,RU,2021-09-17 10:38:00,44.1,44.6,66.97,44,100,11.54
218,Clyde River,CA,2021-09-17 10:38:01,70.4692,-68.5914,29.17,71,99,3.2
