City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Ixtapa,MX,75.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
314,Vanimo,PG,79.93,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
316,Rediu,RO,74.84,few clouds,47.2167,27.5,La Castel
319,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
320,Manta,EC,72.19,overcast clouds,-0.95,-80.7333,Balandra Hotel
327,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
328,Kavaratti,IN,81.95,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
329,Ursulo Galvan,MX,82.33,overcast clouds,22.7333,-98.3,HOTEL LAS FUENTES DEL BERNAL
332,Dharchula,IN,74.91,broken clouds,29.85,80.5333,Mahara Hotel
335,Takoradi,GH,82.08,moderate rain,4.8845,-1.7554,Raybow International Hotel
336,Boma,GH,79.84,moderate rain,7.0805,-2.1697,Obaatanpa Hotel
338,Barra Do Bugres,BR,88.14,clear sky,-15.0725,-57.1811,Hotel 4AM Petrofurt
339,Cayenne,GF,85.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
344,Marsa Matruh,EG,82.0,clear sky,31.3525,27.2453,Beau Site
345,Kaduqli,SD,84.47,light rain,11.0167,29.7167,فندق الله جابو
346,Shache,CN,87.12,clear sky,38.4167,77.2406,Delong Hotel
347,Port-Gentil,GA,77.97,overcast clouds,-0.7193,8.7815,Fengshui Residence
355,Tonota,BW,88.83,clear sky,-21.4833,27.4833,Semotswane Baraka Lodge
356,Caucaia,BR,85.95,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
361,Sar-E Pul,AF,80.22,clear sky,35.8333,66.1667,
366,Tefe,BR,77.11,clear sky,-3.3542,-64.7114,Aracati Hotel
367,Port Blair,IN,81.45,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
370,Lethem,GY,80.89,clear sky,3.3803,-59.7968,Savannah Inn
373,Mayo,US,73.81,mist,38.8876,-76.5119,Resorts Resource Group International
376,Phan Thiet,VN,79.59,broken clouds,10.9333,108.1,Hotel Saigon-PT
377,Chitral,PK,84.97,clear sky,35.8462,71.7858,PTDC Motel Chitral
380,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
382,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
384,Mogadishu,SO,80.87,broken clouds,2.0371,45.3438,Hotel Juba
387,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
389,Ios,GR,84.11,clear sky,36.7333,25.2833,Ios Palace Hotel & Spa
390,Itarema,BR,85.87,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
392,Zemio,CF,75.33,light rain,5.0314,25.1361,OCHA Office
393,Yibin,CN,72.64,light rain,28.7667,104.6238,Handsome Guesthouse
396,Mahbubnagar,IN,80.35,overcast clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
399,Kulai,MY,85.82,broken clouds,1.6561,103.6032,Hotel U and Me
400,Honiara,SB,77.52,broken clouds,-9.4333,159.95,Heritage Park Hotel
403,Canton,CN,84.15,light rain,23.1167,113.25,Guangzhou Hotel
405,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
409,Samarai,PG,77.14,overcast clouds,-10.6167,150.6667,Nuli Sapi
412,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
415,Samana,DO,77.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
416,Carutapera,BR,84.43,clear sky,-1.195,-46.02,Lidera
419,Beloha,MG,84.33,clear sky,-25.1667,45.05,
420,Bardiyah,LY,82.72,clear sky,31.7561,25.0865,بورتو بردية
424,Santa Cruz,BO,75.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
425,Berck,FR,74.7,clear sky,50.4,1.6,Hôtel Régina & Spa
426,Luanda,AO,74.82,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
428,Malanje,AO,88.14,few clouds,-9.5402,16.341,Malanje Hotel
433,Waingapu,ID,79.75,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
434,Fajardo,PR,82.33,broken clouds,18.3258,-65.6524,"El Conquistador, A Waldorf Astoria Resort"
435,Dapaong,TG,79.83,overcast clouds,10.8639,0.205,Hotel Caroli
438,Luzhou,CN,72.81,light rain,28.8724,105.4405,Shijichun Hotel
441,Mantua,IT,81.09,overcast clouds,45.1667,10.7833,Hotel la Favorita
443,Basoko,CD,81.86,overcast clouds,1.2391,23.616,Jackyna Hotel
444,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
446,Chipinge,ZW,80.98,few clouds,-20.1883,32.6236,Chipinge Breeze Lodge
448,Nuqui,CO,77.7,light rain,5.7125,-77.2708,Hotel Nuquimar
449,Bawku,GH,82.36,overcast clouds,11.0616,-0.2417,Ultimate Guest House
450,Ugoofaaru,MV,83.17,broken clouds,5.6667,73.0,Ungoofaaru Inn
451,Kongoussi,BF,87.67,overcast clouds,13.3258,-1.5347,Hôtel La Sagesse
452,Lincoln,US,71.04,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
455,Joao Camara,BR,83.44,few clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
456,Russell,US,74.48,overcast clouds,32.3502,-85.1999,Macs
459,Le Pradet,FR,82.99,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
460,Oriximina,BR,80.44,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
461,Adjumani,UG,82.53,light rain,3.3779,31.7909,Hotel Zawadi
462,Humberto De Campos,BR,85.86,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
463,Nabire,ID,77.02,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
464,Sayyan,YE,76.23,broken clouds,15.1718,44.3244,متنزه و بحيرة سيان
469,Pozo Colorado,PY,77.32,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
471,Wanning,CN,81.36,light rain,18.8003,110.3967,Paradise Hotel
472,Cristalina,BR,73.85,clear sky,-16.7686,-47.6136,HOTEL TOPAZIO
475,Tambopata,PE,73.29,clear sky,-12.7333,-69.1833,
479,Immokalee,US,77.92,clear sky,26.4187,-81.4173,Seminole Casino Hotel Immokalee
481,Zhangye,CN,73.92,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
482,Cazones,MX,80.4,mist,20.7167,-97.3167,Hotel paraíso
484,Vittorio Veneto,IT,78.01,overcast clouds,45.9767,12.3033,Alice Relais nelle Vigne
486,Mulege,MX,83.21,clear sky,26.8833,-111.9833,Casa Granada
491,Acurenam,GQ,76.8,moderate rain,1.0322,10.6488,
492,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
494,Dafeng,CN,79.32,scattered clouds,23.4517,108.5881,Shenglong Hotel
496,Lardos,GR,85.82,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
497,Virginia Beach,US,77.05,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
506,Jiguani,CU,71.38,scattered clouds,20.3667,-76.4272,
507,Gotsu,JP,75.6,heavy intensity rain,35.0,132.2167,Yurusato
508,Shingu,JP,76.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
512,Cap Malheureux,MU,77.49,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
513,Pondicherry,IN,88.81,overcast clouds,11.93,79.83,Villa Shanti for food lovers
516,Jumilla,ES,83.82,few clouds,38.4792,-1.325,Hotel Monreal
517,Moramanga,MG,83.95,few clouds,-18.9333,48.2,Espace VANILLA
519,Sao Felix Do Xingu,BR,85.71,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
523,Puerto Ayacucho,VE,75.81,clear sky,5.6639,-67.6236,Posada Turistica Manapiare
526,Marsabit,KE,82.9,scattered clouds,2.3284,37.9899,Chicho Hotel
527,Golega,PT,81.72,few clouds,39.4047,-8.4863,Hotel Lusitano
529,Dhidhdhoo,MV,82.87,scattered clouds,6.8833,73.1,Dhidhoo beach
530,Tenkodogo,BF,83.52,overcast clouds,11.78,-0.3697,Hôtel Tiéba
531,Sijunjung,ID,74.23,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
532,Manaus,BR,79.29,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
534,Dahuk,IQ,88.54,clear sky,36.8695,42.994,Parwar Hotel
535,Sola,VU,79.12,scattered clouds,-13.8833,167.55,Leumerus Bungalows
536,Aquidauana,BR,86.65,clear sky,-20.4711,-55.7872,HOTEL ARARAS
